"env","sim","qs","threads","span","sz","gps"
Win,Generic,15,1,5,23.18,5197.0
Win,AVX,15,1,5,23.18,12690.0
Win,AVX2,15,1,5,23.18,14970.0
Win,AVX512,15,1,5,23.18,36230.0
Win,Generic,15,2,5,23.18,8058.0
Win,AVX,15,2,5,23.18,18200.0
Win,AVX2,15,2,5,23.18,21940.0
Win,AVX512,15,2,5,23.18,55930.0
Win,Generic,15,3,5,23.18,9117.0
Win,AVX,15,3,5,23.18,20250.0
Win,AVX2,15,3,5,23.18,24560.0
Win,AVX512,15,3,5,23.18,62700.0
Win,Generic,15,4,5,23.18,9755.0
Win,AVX,15,4,5,23.18,21130.0
Win,AVX2,15,4,5,23.18,24690.0
Win,AVX512,15,4,5,23.18,57360.0
Win,Generic,15,1,6,28.33,5960.0
Win,AVX,15,1,6,28.33,9069.0
Win,AVX2,15,1,6,28.33,11450.0
Win,AVX512,15,1,6,28.33,13170.0
Win,Generic,15,2,6,28.33,9671.0
Win,AVX,15,2,6,28.33,14840.0
Win,AVX2,15,2,6,28.33,18890.0
Win,AVX512,15,2,6,28.33,21280.0
Win,Generic,15,3,6,28.33,10960.0
Win,AVX,15,3,6,28.33,18150.0
Win,AVX2,15,3,6,28.33,22070.0
Win,AVX512,15,3,6,28.33,23600.0
Win,Generic,15,4,6,28.33,10480.0
Win,AVX,15,4,6,28.33,16990.0
Win,AVX2,15,4,6,28.33,20150.0
Win,AVX512,15,4,6,28.33,22930.0
Win,Generic,15,1,7,34.00,2162.0
Win,AVX,15,1,7,34.00,3058.0
Win,AVX2,15,1,7,34.00,3708.0
Win,AVX512,15,1,7,34.00,4080.0
Win,Generic,15,2,7,34.00,3580.0
Win,AVX,15,2,7,34.00,5354.0
Win,AVX2,15,2,7,34.00,6558.0
Win,AVX512,15,2,7,34.00,7262.0
Win,Generic,15,3,7,34.00,4328.0
Win,AVX,15,3,7,34.00,6418.0
Win,AVX2,15,3,7,34.00,7946.0
Win,AVX512,15,3,7,34.00,7962.0
Win,Generic,15,4,7,34.00,4071.0
Win,AVX,15,4,7,34.00,6161.0
Win,AVX2,15,4,7,34.00,7037.0
Win,AVX512,26,4,7,34.00,8136.0
Win,Generic,26,1,5,24.17,3.0
Win,AVX,26,1,5,24.06,7.9
Win,AVX2,26,1,5,24.17,9.7
Win,AVX512,26,1,5,23.88,49.2
Win,Generic,26,2,5,24.09,5.7
Win,AVX,26,2,5,23.91,14.4
Win,AVX2,26,2,5,23.93,16.3
Win,AVX512,26,2,5,23.89,82.8
Win,Generic,26,3,5,24.09,8.1
Win,AVX,26,3,5,24.03,17.8
Win,AVX2,26,3,5,24.00,22.4
Win,AVX512,26,3,5,23.86,99.0
Win,Generic,26,4,5,23.95,10.2
Win,AVX,26,4,5,24.00,22.3
Win,AVX2,26,4,5,23.97,23.1
Win,AVX512,26,4,5,23.87,100.4
Win,Generic,26,1,6,31.00,5.7
Win,AVX,26,1,6,31.00,13.3
Win,AVX2,26,1,6,31.09,18.4
Win,AVX512,26,1,6,31.00,25.9
Win,Generic,26,2,6,31.07,11.1
Win,AVX,26,2,6,31.00,23.1
Win,AVX2,26,2,6,31.03,27.0
Win,AVX512,26,2,6,31.04,41.5
Win,Generic,26,3,6,31.00,11.3
Win,AVX,26,3,6,31.00,25.9
Win,AVX2,26,3,6,31.07,36.6
Win,AVX512,26,3,6,31.07,48.8
Win,Generic,26,4,6,31.00,11.9
Win,AVX,26,4,6,31.00,29.0
Win,AVX2,26,4,6,31.00,36.0
Win,AVX512,26,4,6,31.00,45.6
Win,Generic,26,1,7,36.25,3.0
Win,AVX,26,1,7,36.25,7.2
Win,AVX2,26,1,7,36.25,9.2
Win,AVX512,26,1,7,35.88,15.6
Win,Generic,26,2,7,34.44,5.9
Win,AVX,26,2,7,35.94,12.6
Win,AVX2,26,2,7,36.00,16.5
Win,AVX512,26,2,7,35.86,24.9
Win,Generic,26,3,7,36.25,7.3
Win,AVX,26,3,7,36.07,16.0
Win,AVX2,26,3,7,35.95,21.4
Win,AVX512,26,3,7,35.94,27.9
Win,Generic,26,4,7,36.25,9.4
Win,AVX,26,4,7,36.00,18.3
Win,AVX2,26,4,7,35.91,22.9
Win,AVX512,26,4,7,35.96,30.9
"env","sim","qs","threads","span","sz","gps"
Ubu,Generic,15,1,5,23.18,6994.0
Ubu,AVX,15,1,5,23.18,17210.0
Ubu,AVX2,15,1,5,23.18,16960.0
Ubu,AVX512,15,1,5,23.18,18760.0
Ubu,Generic,15,2,5,23.18,12440.0
Ubu,AVX,15,2,5,23.18,24110.0
Ubu,AVX2,15,2,5,23.18,23860.0
Ubu,AVX512,15,2,5,23.18,26600.0
Ubu,Generic,15,3,5,23.18,16530.0
Ubu,AVX,15,3,5,23.18,29470.0
Ubu,AVX2,15,3,5,23.18,29800.0
Ubu,AVX512,15,3,5,23.18,32500.0
Ubu,Generic,15,4,5,23.18,19630.0
Ubu,AVX,15,4,5,23.18,35780.0
Ubu,AVX2,15,4,5,23.18,35000.0
Ubu,AVX512,15,4,5,23.18,38050.0
Ubu,Generic,15,1,6,28.33,4097.0
Ubu,AVX,15,1,6,28.33,4875.0
Ubu,AVX2,15,1,6,28.33,5082.0
Ubu,AVX512,15,1,6,28.33,5438.0
Ubu,Generic,15,2,6,28.33,7147.0
Ubu,AVX,15,2,6,28.33,8384.0
Ubu,AVX2,15,2,6,28.33,8577.0
Ubu,AVX512,15,2,6,28.33,9226.0
Ubu,Generic,15,3,6,28.33,9616.0
Ubu,AVX,15,3,6,28.33,11030.0
Ubu,AVX2,15,3,6,28.33,11340.0
Ubu,AVX512,15,3,6,28.33,12030.0
Ubu,Generic,15,4,6,28.33,12120.0
Ubu,AVX,15,4,6,28.33,13580.0
Ubu,AVX2,15,4,6,28.33,14110.0
